0.01 0 0 0 0 0 1
0.02 0 0 0 0 0 1
0.03 0 0 0 0 0 1
0.04 0 0 0 0 0 1
0.05 0 0 0 0 0 1
0.06 0 0 0 0 0 1
0.07 0 0 0 0 0 1
0.08 0 0 0 0 0 1
0.07 0 0 0 0 0 1
0.06 0 0 0 0 0 1
0.05 0 0 0 0 0 1
0.04 0 0 0 0 0 1
0.03 0 0 0 0 0 1
0.02 0 0 0 0 0 1
0.01 0 0 0 0 0 1
0.00 0 0 0 0 0 1
-0.01 0 0 0 0 0 1
-0.02 0 0 0 0 0 1
-0.03 0 0 0 0 0 1
-0.04 0 0 0 0 0 1
-0.05 0 0 0 0 0 1
-0.06 0 0 0 0 0 1
-0.07 0 0 0 0 0 1
-0.08 0 0 0 0 0 1
-0.07 0 0 0 0 0 1
-0.06 0 0 0 0 0 1
-0.05 0 0 0 0 0 1
-0.04 0 0 0 0 0 1
-0.03 0 0 0 0 0 1
-0.02 0 0 0 0 0 1
-0.01 0 0 0 0 0 1
0.00 0 0 0 0 0 1
